db,query,class
itis,Myro kerguelenensis,Euchelicerata
itis,Sphenomorphus taiwanensis,Reptilia
itis,Limnodynastes peroni,Amphibia
itis,Anaxyrus compactilis,Amphibia
itis,Achirus mazatlanus,Teleostei
itis,Ambassis kopsii,Teleostei
itis,Leuresthes sardina,Teleostei
itis,Quietula y,Teleostei
itis,Acanthoclinus littoreus,Teleostei
itis,Cyprinodon sp.1,Actinopteri
itis,Chirodica chalcoptera,Insecta
itis,Litoria gracilenta,Amphibia
itis,Takydromus hsuehshaner,Reptilia
itis,Eleutherodactylus portoricensus,Amphibia
itis,Hyla lesueuri,Amphibia
itis,Hyla glauerti,Amphibia
itis,Hyla rothi,Amphibia
itis,Hyla ewingi,Amphibia
itis,Hyla peroni,Amphibia
itis,Crinia parainsignifera,Amphibia
itis,Hyla aurea,Amphibia
itis,Hyla alpina,Amphibia
itis,Cryptopygus antarcticustravei,Entognatha
itis,Lithobates catesbeiana,Amphibia
itis,Litoria aurea,Amphibia
itis,Litoria caerulea,Amphibia
itis,Litoria chloris,Amphibia
itis,Litoria citropa,Amphibia
itis,Litoria phyllochroa,Amphibia
